Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Guam,GUM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,260700012.207031,227160003.662109,253240005.493164,259309997.558594,233509994.506836,269480010.986328,500670013.427734,465029998.779297,539500000,380559997.558594,402059997.558594,353570007.324219,304890014.648438,496600006.103516,279839996.337891,411290008.544922,265450012.207031,367010009.765625,399420013.427734,388250000,473029998.779297,512549987.792969,437750000,..,..
Guinea,GIN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,153410003.662109,289250000,254190002.441406,250630004.882813,274809997.558594,192910003.662109,173119995.117188,206080001.831055,317890014.648438,242970001.220703,220970001.220703,202119995.117188,633179992.675781,467420013.427734,563119995.117188,539400024.414063,566979980.46875,472239990.234375,653989990.234375,562080017.089844,725789978.027344,592090026.855469,499630004.882813,..,..
Guinea-Bissau,GNB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,81069999.6948242,60689998.626709,59880001.0681152,145369995.117188,77849998.4741211,66760002.1362305,88199996.9482422,109180000.305176,118860000.610352,134770004.272461,129000000,120639999.389648,80279998.7792969,105620002.746582,110250000,95089996.3378906,196820007.324219,113349998.474121,153600006.103516,112790000.915527,147570007.324219,169100006.103516,148639999.389648,..,..
Guyana,GUY,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,63630001.0681152,63919998.1689453,47259998.3215332,59279998.7792969,101339996.337891,101360000.610352,129509994.506836,75610000.6103516,114779998.779297,103019996.643066,106410003.662109,105620002.746582,114919998.168945,101239997.86377,160610000.610352,32139999.3896484,70019996.6430664,51130001.0681152,104180000.305176,111519996.643066,52169998.1689453,138809997.558594,198979995.727539,..,..
Haiti,HTI,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,181639999.389648,170029998.779297,151949996.948242,186740005.493164,280059997.558594,366630004.882813,531539978.027344,585109985.351563,800659973.144531,943880004.882813,2889840087.89063,1506459960.9375,1273349975.58594,1152130004.88281,1082359985.35156,1045859985.35156,1071680053.71094,981250000,1017109985.35156,695900024.414063,887969970.703125,951479980.46875,890719970.703125,..,..
Heavily indebted poor countries (HIPC),HPC,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,11692290056.2286,14053620004.6539,18130270151.1383,24043109851.8372,25669960058.2123,26700920196.5332,30235519884.1095,34744060176.8494,37349889717.1021,41517110107.4219,43968599628.4485,44151809989.9292,42273160091.4002,40595750022.8882,38432340305.3284,37405099853.5156,36607340133.667,39757549804.6875,41128560134.8877,42275679840.0879,54291840053.5584,49608640026.0926,..,..,..
High income,HIC,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,4788500026.91522,4109809964.22842,4025050000.85943,4689109959.241,5935860082.6934,424410001.87397,487909995.287657,356129997.730255,597139999.866486,579070009.231567,600140007.019043,381799997.329712,290989999.5327,214099997.401237,180960007.429123,127280002.355576,247960003.554821,205959998.130798,94269998.550415,152280002.593994,198850004.196167,129680000.305176,..,..,..
Honduras,HND,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,399850006.103516,562250000,382089996.337891,317260009.765625,539570007.324219,649359985.351563,518229980.46875,362980010.986328,411000000,369019989.013672,470500000,359250000,566190002.441406,625869995.117188,606280029.296875,540599975.585938,412399993.896484,442230010.986328,664940002.441406,452200012.207031,1183359985.35156,617309997.558594,785440002.441406,..,..
"Hong Kong SAR, China",HKG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,4329999.92370605,3569999.9332428,3960000.03814697,5019999.98092651,6949999.80926514,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,252169998.168945,417489990.234375,160330001.831055,247990005.493164,302010009.765625,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBRD only,IBD,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,22655610111.9518,22037190330.0285,22977399928.093,25281969843.0002,28566129820.63,44350559799.4328,30915360271.6923,31289329495.9068,36640910285.4729,29235590190.8875,26794650343.895,31202849923.4021,29660120085.4778,33670220029.7117,35140350226.6407,30650490095.2578,32304060224.2351,31523079824.3284,28479630035.8773,24710170134.7828,34609030038.3568,39507310353.9236,..,..,..
Iceland,ISL,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA & IBRD total,IBT,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,39439610182.0469,42055060346.1266,47191790151.1192,55287559713.4531,61236879945.5614,84592839977.026,79981130112.8865,77249809576.5114,84962259992.1227,84368430362.7015,86000390072.8226,92651060095.1016,91701330312.4905,101805490296.245,100002850603.342,95612540104.9853,99352630540.5498,107216739463.687,108915640220.165,105624849730.73,133138769937.038,131219010305.095,..,..,..
IDA blend,IDB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,2687340009.68933,3826990036.01074,4311740041.25596,3847909986.97282,4555820003.50953,11793370070.9343,17583159964.5615,8949599992.75207,6488689962.38709,8820640062.33215,10714170103.0731,11051200161.9339,9955410044.67011,11361560053.8254,12045330176.3535,11773850083.3511,10686089926.7197,11975550151.825,11634519974.7086,13270469863.8916,15985200050.354,15196969879.1504,..,..,..
IDA only,IDX,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,14096660060.4057,16190879980.0873,19902650181.7703,26157679883.4801,28114930121.4218,28448910106.659,31482609876.6327,37010880087.8525,41832659744.2627,46312200109.4819,48491569625.8545,50397010009.7656,52085800182.3426,56773710212.7076,52817170200.3479,53188199926.3764,56362480389.5951,63718109487.5336,68801490209.5795,67644209732.0557,82544539848.3277,76514730072.0215,..,..,..
IDA total,IDA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,16784000070.0951,20017870016.098,24214390223.0263,30005589870.4529,32670750124.9314,40242280177.5933,49065769841.1942,45960480080.6046,48321349706.6498,55132840171.814,59205739728.9276,61448210171.6996,62041210227.0127,68135270266.533,64862500376.7014,64962050009.7275,67048570316.3147,75693659639.3586,80436010184.2881,80914679595.9473,98529739898.6817,91711699951.1719,..,..,..
India,IND,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1383420043.94531,1729609985.35156,1738209960.9375,720900024.414063,778309997.558594,1875959960.9375,1383579956.05469,1237290039.0625,1930640014.64844,1985329956.05469,2831340087.89063,3270219970.70313,1681849975.58594,2456340087.89063,2991820068.35938,3174350097.65625,2679040039.0625,3198139892.57813,2461989990.23438,2550320068.35938,1794530029.29688,3135310058.59375,2831239990.23438,..,..
Indonesia,IDN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1645430053.71094,1458180053.71094,1296010009.76563,1738630004.88281,97559997.5585938,2489000000,1229969970.70313,581640014.648438,731489990.234375,685719970.703125,1323760009.76563,358109985.351563,69010002.1362305,69470001.2207031,-381940002.441406,-28459999.0844727,-108279998.779297,280190002.441406,962690002.441406,-693369995.117188,1210020019.53125,625900024.414063,662700012.207031,..,..
"Iran, Islamic Rep.",IRN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,129869995.117188,114559997.558594,114540000.915527,131050003.051758,188649993.896484,100669998.168945,117239997.86377,103769996.643066,100470001.220703,92519996.6430664,112440002.441406,105790000.915527,151789993.286133,131600006.103516,81169998.1689453,110900001.525879,116190002.441406,140279998.779297,166449996.948242,204440002.441406,235399993.896484,303769989.013672,289589996.337891,..,..
Iraq,IRQ,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,101830001.831055,122699996.948242,113379997.253418,2287649902.34375,4650649902.34375,22057089843.75,8889320312.5,9204339843.75,9872250000,2756540039.0625,2178330078.125,1914689941.40625,1300880004.88281,1541540039.0625,1369270019.53125,1482939941.40625,2287899902.34375,2907510009.76563,2300610107.42188,2090969970.70313,2359530029.29688,1810680053.71094,1569810058.59375,..,..
Ireland,IRL,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Isle of Man,IMN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,800000000,172350006.103516,756869995.117188,439989990.234375,478850006.103516,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,ITA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jamaica,JAM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,14130000.1144409,58900001.5258789,28530000.6866455,10550000.1907349,86750000,43750000,40700000.7629395,31659999.8474121,89809997.5585938,152279998.779297,141100006.103516,41029998.7792969,28059999.4659424,71589996.3378906,95989997.8637695,59069999.6948242,26850000.3814697,61549999.2370605,100309997.558594,125169998.168945,66870002.746582,58580001.8310547,95139999.3896484,..,..
Japan,JPN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,554179992.675781,450309997.558594,562719970.703125,1321219970.70313,604630004.882813,709849975.585938,573570007.324219,634059997.558594,736630004.882813,732030029.296875,954750000,974099975.585938,1157500000,1400329956.05469,2697159912.10938,2141050048.82813,2727969970.70313,2979659912.10938,2526100097.65625,2689850097.65625,3114459960.9375,3447149902.34375,1985739990.23438,..,..
Kazakhstan,KAZ,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,184839996.337891,149600006.103516,189289993.286133,289559997.558594,272410003.662109,225199996.948242,178729995.727539,261250000,337679992.675781,273670013.427734,211990005.493164,201029998.779297,131860000.610352,90760002.1362305,92800003.0517578,81699996.9482422,62779998.7792969,59490001.6784668,79989997.8637695,53610000.6103516,73970001.2207031,57549999.2370605,73819999.6948242,..,..
Kenya,KEN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,513919982.910156,472410003.662109,388220001.220703,522900024.414063,655929992.675781,756570007.324219,941650024.414063,1222040039.0625,1249430053.71094,1697680053.71094,1631260009.76563,2478820068.35938,2653659912.10938,3306840087.89063,2661030029.29688,2463560058.59375,2188389892.57813,2480219970.70313,2491010009.76563,3171919921.875,3989209960.9375,3176919921.875,2652010009.76563,..,..
Kiribati,KIR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,16930000.3051758,11069999.6948242,20120000.8392334,16229999.5422363,14560000.4196167,26639999.3896484,25520000.4577637,27510000.2288818,26979999.5422363,25149999.6185303,23770000.4577637,64540000.9155273,65669998.1689453,64989997.8637695,80660003.6621094,64949996.9482422,60840000.1525879,77150001.5258789,80029998.7792969,56659999.8474121,58049999.2370605,72860000.6103516,91099998.4741211,..,..
"Korea, Dem. People's Rep.",PRK,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,73550003.0517578,117889999.389648,264399993.896484,131139999.389648,160850006.103516,87449996.9482422,55180000.3051758,99580001.8310547,206229995.727539,65220001.2207031,78830001.8310547,118489997.86377,97870002.746582,109099998.474121,153529998.779297,131429992.675781,119650001.525879,133119995.117188,120510002.13623,134059997.558594,124910003.662109,20129999.1607666,12829999.9237061,..,..
"Korea, Rep.",KOR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,-198139999.389648,-111330001.831055,-81910003.6621094,-461600006.103516,-71540000.9155273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kosovo,XKX,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,782119995.117188,527520019.53125,583179992.675781,566739990.234375,568549987.792969,579390014.648438,437809997.558594,370029998.779297,392369995.117188,345109985.351563,344790008.544922,544080017.089844,453500000,381380004.882813,..,..
Kuwait,KWT,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,3890000.10490417,4690000.05722046,5710000.03814697,5519999.98092651,3690000.05722046,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,193350006.103516,129419998.168945,158520004.272461,174300003.051758,206710006.713867,237869995.117188,270559997.558594,209039993.286133,288320007.324219,254770004.272461,372040008.544922,437859985.351563,470489990.234375,539450012.207031,626570007.324219,774710021.972656,519489990.234375,464970001.220703,438929992.675781,443320007.324219,473890014.648438,452489990.234375,729700012.207031,..,..
Lao PDR,LAO,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,233610000.610352,204630004.882813,234360000.610352,253669998.168945,230979995.727539,241289993.286133,307239990.234375,308730010.986328,418100006.103516,342609985.351563,389209991.455078,371950012.207031,410700012.207031,423329986.572266,474420013.427734,471089996.337891,399459991.455078,480359985.351563,588739990.234375,621570007.324219,529450012.207031,575679992.675781,547739990.234375,..,..
Late-demographic dividend,LTE,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,13350510052.0849,12379270186.5137,13246289935.2312,13508549889.0579,15635320041.1797,10314519943.7142,11535379981.041,12063149797.4396,13237310021.4005,13566290091.5146,11753110192.7757,13484350044.2505,14763570176.1246,13465340082.1686,14801220124.2447,12562679975.3904,12084700069.4275,12768990048.4085,9824989892.00594,8129200014.3528,13236670042.5148,12130620089.2217,..,..,..
Latin America & Caribbean,LCN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,4671979977.86104,5573090035.75146,4885070049.64351,5888100053.25079,6594370013.07309,6397829979.53892,7014379884.45163,6674550062.17957,8968239969.25354,8622280060.17208,9626160144.80591,9934470008.67128,10028189943.0752,10294329924.4642,9962540119.8864,10133120064.9738,11188710220.0389,8494269969.34414,10321349997.5204,8661500052.45209,12180740043.6401,11848990024.5667,..,..,..
Latin America & Caribbean (excluding high income),LAC,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,4409539980.66484,5270130034.93846,4664240052.70004,5481690049.61848,6341780018.71705,6049229977.13089,6695509885.31113,6299740058.89893,8572549968.71948,8293190063.47656,9155590143.20374,9577520007.13348,9625329945.56427,10065419925.6897,9530920116.42456,10036400063.5147,10945790217.3996,8286339973.68813,10081449994.0872,8365300065.99426,11721510034.5612,11416930030.8228,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,3557359996.55724,4843870046.13876,4271410040.85541,5012940050.69137,5287510005.75722,5338370005.13077,6036039890.52773,5455180032.25327,6881449916.36276,7032750074.3866,8078940149.30726,8351769999.50409,7673029986.14312,7593969978.21331,7534190109.96818,7426790017.36641,6981720130.62239,6371290007.94888,8018029971.12275,6731810027.1225,9804980072.02149,9635000056.14758,..,..,..
Latvia,LVA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,90589996.3378906,105180000.305176,75199996.9482422,113370002.746582,161809997.558594,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Least developed countries: UN classification,LDC,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,12004440017.2234,13623960023.88,17286090199.4705,23777659869.6709,25301860013.0081,25511960132.5989,28286939935.6842,34138690054.8935,38266739719.3909,39604650014.8773,43490309619.9036,44448710067.749,43007670089.7217,47812710323.3338,43848160087.5855,43251279693.6035,43409390375.1374,48837959821.7011,54195220167.1601,52987779647.8272,64458440105.4383,60834359786.9874,..,..,..
Lebanon,LBN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,201190002.441406,198970001.220703,204020004.272461,534640014.648438,266670013.427734,230720001.220703,819039978.027344,978969970.703125,1068359985.35156,550969970.703125,445089996.337891,475489990.234375,711580017.089844,621599975.585938,820950012.207031,965609985.351563,1129339965.82031,1303040039.0625,1422300048.82813,1236459960.9375,1421670043.94531,1399290039.0625,1426089965.82031,..,..
Lesotho,LSO,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,37169998.1689453,55549999.2370605,77000000,79129997.253418,95309997.5585938,68440002.4414063,71190002.4414063,117269996.643066,124589996.337891,111019996.643066,256049987.792969,256769989.013672,276260009.765625,320670013.427734,107169998.168945,86489997.8637695,112069999.694824,145660003.662109,153759994.506836,140220001.220703,170869995.117188,179199996.948242,153289993.286133,..,..
Liberia,LBR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,67419998.1689453,38479999.5422363,54990001.6784668,106779998.779297,213389999.389648,222089996.337891,260910003.662109,294970001.220703,1245810058.59375,468260009.765625,1416109985.35156,762250000,566710021.972656,535929992.675781,749590026.855469,1094459960.9375,819179992.675781,631590026.855469,593950012.207031,581219970.703125,652409973.144531,606330017.089844,484750000,..,..
Libya,LBY,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,13750000,6949999.80926514,6969999.79019165,7909999.84741211,12500000,23840000.1525879,37509998.3215332,19409999.8474121,74199996.9482422,40040000.9155273,7610000.1335144,641099975.585938,87120002.746582,128830001.831055,210279998.779297,157369995.117188,179490005.493164,431869995.117188,303459991.455078,294190002.441406,296179992.675781,343600006.103516,263950012.207031,..,..
Liechtenstein,LIE,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,97819999.6948242,130229995.727539,132210006.713867,370880004.882813,249380004.882813,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low & middle income,LMY,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,51558738769.5313,52871791503.9063,62987989746.0938,72508501708.9844,81299781982.4219,106548234375,104887929687.5,106261070312.5,123872406250,123658937500,127610687500,138530968750,132778609375,150384625000,161010125000,146127375000,158025218750,164284218750,166779828125,162355562500,192703828125,201776687500,..,..,..
Low income,LIC,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,7285340011.59668,8709389968.87207,12312190124.5117,17470459819.7937,17508370113.3728,18965360233.3069,21101069986.3434,24894269996.6431,27971409889.2212,29356330078.125,30829849525.4517,33670829994.2017,32379279983.5205,34682150024.4141,35185730224.6094,35532170120.2393,40097240333.5571,44759849304.1992,49979780303.9551,47381699821.4722,54715689773.5596,52794799957.2754,..,..,..
Lower middle income,LMC,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,19552300108.9096,22034160190.5822,22114470104.2176,23552420017.2425,25681429879.1885,34283890010.8337,40057909799.5758,33701179777.1454,35930049858.0933,40708280107.4982,43031670543.6707,42493440116.8823,44768720358.8486,54008050247.1924,49778650379.1809,46597869850.1587,44430510120.3918,47008650150.2991,45538839714.0503,46519809886.9324,60189680133.8196,60971690116.8823,..,..,..
Luxembourg,LUX,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Macao SAR, China",MAC,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,680000.007152557,529999.971389771,980000.019073486,129999.995231628,119999.997317791,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,MDG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,324480010.986328,374529998.779297,373940002.441406,545359985.351563,1252520019.53125,916150024.414063,784409973.144531,688130004.882813,631559997.558594,399100006.103516,477309997.558594,447279998.779297,368489990.234375,499279998.779297,588119995.117188,677510009.765625,621580017.089844,779039978.027344,755010009.765625,732309997.558594,1298689941.40625,1068260009.76563,999890014.648438,..,..
